instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Loma Linda University,2,153933288,352797860,5155,7552,8864,8323,25200,1713,5971
Long Beach City College,1,9412329,147423225,4649,938,598,3904,728,906,27894
The Master's College and Seminary,2,25318509,31063478,3414,8282,10248,10170,24280,306,1348
The Art Institute of California-San Francisco,3,31477662,35183146,6019,5662,1855,11069,19765,270,1462
Loyola Marymount University,2,282803896,329727849,6003,9092,13910,8150,34730,2456,9015
College of Marin,1,9002772,62645217,3379,813,1383,6625,780,221,7066
Marymount College,2,15244951,18401223,5049,4532,12783,6332,24052,109,569
Mendocino College,1,1966093,31996247,4205,763,516,3405,624,316,4833
Menlo College,2,18845498,47633722,5851,5739,16803,7733,31720,129,652
Mills College,2,45721127,70440737,5682,9516,20160,7635,35196,393,1501
MiraCosta College,1,6762390,94956777,3934,766,563,2699,624,528,13537
Monterey Peninsula College,1,3322996,57781854,4148,938,322,6029,624,365,9578
Mt San Antonio College,1,24003539,167329370,4552,889,574,2872,624,1901,29935
Mount St Mary's College,2,56297480,78730469,4989,6930,11449,9356,27840,682,2482
Mt. San Jacinto Community College District,1,10678639,72633555,3965,790,516,5898,780,1475,17583
Musicians Institute,3,32299805,33385464,3172,1603,3000,7631,23100,268,1425
National University,2,167747435,220047575,2398,3924,967,7916,10728,4518,15553
Newschool of Architecture and Design,3,11311815,11311841,6652,7820,2970,6026,20400,112,598
Notre Dame de Namur University,2,26470930,28297741,5203,6083,13600,7180,26830,345,1613
Occidental College,2,75397867,124647806,8564,8922,20448,6646,37970,457,1989
Ohlone College,1,7053293,57995762,4579,820,500,4375,780,290,11695
Otis College of Art and Design,2,30913283,35933861,4947,6926,8652,6833,30660,248,1221
Hope International University,2,13390689,15422763,5013,6703,10978,13420,21560,193,987
Pacific Union College,2,31015701,42971210,6654,7517,7408,9867,23844,299,1526
University of the Pacific,2,238130000,308547000,6028,9128,15958,5597,31730,1676,6401
Pasadena City College,1,26692713,169885529,4668,1211,431,4024,676,1649,26453
Patten University,2,4878257,6273490,3420,5474,6865,7047,13440,65,1051
Pepperdine University,2,256638000,334498000,6768,9505,26701,6772,37730,2509,7733
Pitzer College,2,50353625,55143366,6740,9395,25213,4766,35840,244,1043
Platt College-San Diego,3,4016040,4093448,5366,5636,13526,7845,24300,166,293
Point Loma Nazarene University,2,55924267,64169962,6428,8857,8702,7600,25300,901,3487
Pomona College,2,57846000,244399000,7865,9708,31171,4925,36710,375,1550
Westwood College-South Bay,3,17049287,18110454,5903,5370,2555,11845,13957,135,724
University of Redlands,2,106014373,111612827,7156,9111,19308,7535,33594,1226,4431
Riverside Community College,1,25287574,203338695,3952,865,500,3463,780,2577,36586
Argosy University-San Francisco Bay Area,3,12968772,12602077,4459,4854,11196,16919,18360,188,880
Saddleback College,1,27897774,202486551,4896,753,533,5438,624,1715,36554
San Diego State University,1,207388474,490355637,5279,2684,4869,5333,11160,9145,33820
University of San Diego,2,258571000,290986000,8237,9222,21656,7573,35870,2158,7868
San Francisco Art Institute,2,17335074,48546478,4414,4222,12349,9079,30880,185,571
