instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Amarillo College,1,17902392,76767822,4428,1454,896,4616,816,781,11289
Angelina College,1,7853448,31199063,4156,1523,3034,501,1710,300,5422
Angelo State University,1,54483405,108991820,4622,3561,3318,5690,3396,1066,6387
The Art Institute of Houston,3,49536530,53691401,6097,7014,1557,10276,22434,387,2223
Austin College,2,39206023,49035787,5496,4123,17000,7290,27690,326,1364
Austin Community College District,1,71163481,249703125,4961,1643,1093,4899,4110,1369,40248
Baylor University,2,399351000,429782000,5093,4084,12277,9627,25320,3672,14614
Coastal Bend College,1,9373839,36120671,5587,1729,879,5433,1464,256,4196
Blinn College,1,40187229,77594571,4335,1370,2610,3742,1536,827,17173
Remington College-Dallas Campus,3,23265762,23130305,4119,8354,832,6778,14420,190,1446
Brazosport College,1,5476284,31997198,4741,1531,835,2678,1710,251,3908
Brookhaven College,1,13955652,50309082,4611,1369,1889,5087,2280,569,11814
Cedar Valley College,1,5870009,32955808,4538,1294,965,5139,2280,309,5886
Central Texas College,1,45120652,127966732,3702,2428,565,4170,1620,2472,24133
Cisco College,1,8747704,21490684,4663,1499,1558,4894,768,213,4260
Clarendon College,1,3474441,9686627,4581,792,1702,4990,912,162,1427
Concordia University Texas,2,27942029,31938744,4716,4161,10039,8537,20800,673,2242
North Central Texas College,1,14847570,37002895,4312,1493,2609,3426,840,513,9156
Texas A & M University-Corpus Christi,1,55393555,158197255,5015,4006,1958,6055,4048,1801,9468
Court Reporting Institute-Wheeler Institute of Texas,3,6097040,9499954,5528,640,338,11786,9600,13,969
Dallas Baptist University,2,70891778,80178811,5599,3616,8312,9044,17490,1435,5400
University of Dallas,2,50511586,52206281,5387,4478,13617,7456,24646,683,2883
Del Mar College,1,22874081,113414732,4924,1580,910,2924,912,1110,12069
East Texas Baptist University,2,16805241,22150895,4735,3905,7915,6499,17180,195,1179
Texas A & M University-Commerce,1,51058506,114430400,5223,4792,3858,6196,4342,2182,9021
Eastfield College,1,10457898,48256328,4593,1333,1492,5229,2280,430,11944
El Centro College,1,8430078,64816048,4461,1397,1369,5997,2280,570,9072
El Paso Community College,1,45841912,142279421,5493,1451,1457,3975,1428,3117,28168
The Art Institute of Dallas,3,42107820,47688673,7416,10150,2084,10560,28440,298,2067
Frank Phillips College,1,2205180,12930299,5142,1518,2016,4262,1590,67,1239
Galveston College,1,2958765,21261881,5064,1332,1201,3079,900,178,2167
Grayson County College,1,7524786,35132584,2580,1586,1416,4677,1296,411,4856
Hardin-Simmons University,2,35137865,41759663,2451,3428,7756,6983,18750,530,2305
Trinity Valley Community College,1,8588929,37622856,4691,1356,1727,4617,672,653,7012
Hill College,1,6868949,22452902,4136,586,1154,5483,1950,246,4294
Houston Baptist University,2,48708568,57506572,4624,3513,7195,6989,19990,435,2710
Houston Community College,1,106517131,341348131,4762,1589,625,3933,1920,3285,54942
University of Houston-Downtown,1,54878262,111837181,4791,5584,1639,1942,3360,2376,12742
University of Houston,1,320950535,762651777,5212,5339,4897,6171,4434,7230,37000
Howard College,1,6297748,31736782,4196,1715,3783,3444,1608,385,4103
Howard Payne University,2,16195009,18997304,5181,3966,8296,7411,17600,238,1232
Huston-Tillotson University,2,8798908,17641328,3074,3476,435,7257,9450,93,882
University of the Incarnate Word,2,115404110,114640664,4885,4102,8993,7573,20400,1382,6756
Jacksonville College-Main Campus,2,1802526,3339226,5132,3365,4569,2500,6300,32,327
Jarvis Christian College,2,6634327,10104571,4679,4430,3665,7201,8528,72,628
Kilgore College,1,13763075,46856548,5106,1323,1713,4665,1776,578,6375
Lamar University,1,110245309,230985345,4864,4723,2697,6296,3900,4589,18462
Laredo Community College,1,15310717,68497699,5031,1638,902,1761,1920,623,9361
Texas A & M International University,1,29144738,91306679,5563,4409,1982,2053,3244,1143,6419
Lee College,1,10165353,50999991,4880,1448,833,2237,1352,785,6658
LeTourneau University,2,45919785,55125606,5010,4193,8934,7336,20100,931,3386
Lon Morris College,2,17195349,19840066,4553,1735,8640,5076,12000,46,817
Lubbock Christian University,2,20750562,22947319,4829,3921,5807,6418,14100,431,1906
College of the Mainland,1,6207751,45685931,4800,1503,972,1900,1560,295,3916
University of Mary Hardin-Baylor,2,47949516,60829277,4737,3788,6166,9315,18300,534,2689
McLennan Community College,1,19866254,63323522,4782,1750,1256,5057,1824,585,9128
McMurry University,2,25051518,37236018,5147,3573,7224,8104,18345,232,1509
Midland College,1,12565804,54385400,4520,1601,1948,3563,2460,394,6227
Midwestern State University,1,35878083,75523621,4730,5294,2624,5591,1200,1226,6341
Mountain View College,1,7621543,36931173,4524,1403,1489,4067,2280,390,8203
Navarro College,1,18067553,52752647,5069,1569,2451,5389,768,667,9200
Lone Star College System,1,68030392,297439905,4899,1706,745,5544,2592,3036,46504
North Lake College,1,13282573,50583313,4444,1444,1365,5138,2280,579,11644
University of North Texas,1,261545955,482142647,5349,4193,2946,5987,5060,7881,35003
Northeast Texas Community College,1,6213929,21942688,4954,2000,1754,2949,1512,269,2920
Odessa College,1,8581355,39759532,5312,1649,3520,3800,1848,322,5132
Our Lady of the Lake University-San Antonio,2,39763960,43993410,6290,4075,10766,6889,20324,608,2660
Paris Junior College,1,10778000,28952600,5240,1911,2276,3081,1632,388,5580
Paul Quinn College,2,1924218,10105860,7971,4568,1683,4462,8650,56,171
Prairie View A & M University,1,57295476,166141015,5264,3763,3558,6334,4884,1470,8608
Ranger College,1,2020990,6277925,2291,1605,1085,3455,1770,36,1000
Rice University,2,169013844,691062175,4807,4306,25595,7691,31303,1582,5576
Richland College,1,19125080,75848967,4807,1291,1617,5360,2280,951,18201
Saint Edward's University,2,109268221,100518147,6232,4545,12621,8810,24040,1238,5293
University of St Thomas,2,43275515,56417919,5263,4215,8926,6679,21510,616,3132
Sam Houston State University,1,104912131,241741156,5497,5730,3967,5858,4650,4001,16772
San Antonio College,1,102016962,369451040,4792,1494,1193,4165,2484,3759,58065
San Jacinto Community College,1,41645180,173998213,6675,1540,461,3105,1740,2142,27011
Schreiner University,2,18414427,31505154,4644,3375,7914,8235,18132,131,1049
St Marys University,2,79352553,102327007,4125,4598,10874,6371,21320,904,3893
South Plains College,1,20416966,56944892,3434,1485,913,4297,624,507,10011
Southern Methodist University,2,324171000,445499000,6322,4245,20238,7334,31200,3480,10891
Southwest Texas Junior College,1,12475571,35571196,5871,1761,807,4377,1860,453,5767
Southwestern Assemblies of God University,2,22088131,25292814,4500,3423,4394,7195,12900,380,2018
Southwestern University,2,38622081,67803514,5505,4398,15613,7945,30220,285,1301
Stephen F Austin State University,1,81409932,194496660,4818,4332,2849,7758,3864,2268,12845
Texas State University-San Marcos,1,211296711,458981738,4966,4345,3193,5459,4368,6550,30803
Southwestern Adventist University,2,13374513,19850718,2725,2799,3757,6362,15456,155,809
Southwestern Christian College,2,1221056,6017477,5395,2940,4887,3821,5288,33,201
Sul Ross State University,1,12714121,46893784,4849,3661,920,5359,2928,589,3047
Tarleton State University,1,55255068,141093741,3529,4226,3650,4831,3324,2448,10424
Temple College,1,13319385,33487760,5032,943,2475,4718,2280,350,5659
Texas A & M University-Kingsville,1,45707268,127743959,5143,5351,2158,5034,3104,1749,8194
Texas A & M University at Galveston,1,13744135,47652873,5150,3950,4154,6201,5248,274,1774
Texas A & M University,1,452805619,1878675363,4952,4104,4993,6988,5152,11205,48702
The University of Texas at Austin,1,1577358114,9524382216,5644,4993,3213,5453,8930,44344,208961
Texas Christian University,2,241167831,395417105,5330,4009,13442,9439,28250,2200,8853
Texas College,2,8540662,15167133,4645,6388,1900,6392,8000,96,964
Texas Lutheran University,2,28405235,43032764,5187,3765,10687,7434,21780,231,1387
Texas Southern University,1,76139146,199548461,5052,5145,7155,7808,1364,1214,9394
Texas Tech University,1,253291035,607622110,4712,4365,3516,8565,3900,6016,30049
Texas Wesleyan University,2,61977527,65657048,5148,4154,6954,7080,16120,768,3333
Texas Woman's University,1,69133650,176954279,4884,5135,3505,5085,3792,3374,13338
Trinity University,2,71305687,155615893,6785,4025,15342,9411,28272,696,2693
Texas State Technical College Harlingen,1,13451862,48999616,6045,2357,946,3431,2414,306,5988
Texas State Technical College-West Texas,1,4451377,24752443,5709,2304,750,4439,2412,260,1689
Tyler Junior College,1,28346513,78329631,5101,1615,2710,5566,2040,1028,11045
Vernon College,1,8693040,23714351,5629,1605,3278,5318,2100,235,3163
Victoria College,1,10714874,41581060,4515,1401,665,6051,2370,292,4054
Wayland Baptist University,2,39106253,52706260,2625,4180,5399,3825,9480,1959,5886
Weatherford College,1,9859245,37755735,4591,1359,3133,5089,2760,495,5384
West Texas A & M University,1,41191184,113388079,4802,3947,2231,5731,4028,1612,7634
Western Texas College,1,4384914,18486798,3079,1346,3206,4359,1464,127,2473
Wharton County Junior College,1,16722943,38328768,5235,1570,2174,4738,768,498,6622
Wiley College,2,11779654,18929277,4770,3533,3345,7351,8000,159,1237
College of Eastern Utah,1,5257916,30965270,4191,2392,2188,2542,2070,330,2419
Dixie State College of Utah,1,28138708,60740200,4863,2804,1491,5975,2640,1212,7708
Latter-day Saints Business College,2,5390000,14838000,4036,532,1030,3699,2800,326,1589
Snow College,1,9371824,36611538,4378,462,1772,3213,2152,653,4368
Southern Utah University,1,36964526,98164030,4294,825,2842,3025,3730,1593,8066
Stevens-Henager College of Business-Provo,3,26733385,26493880,3459,5513,1037,8198,14730,251,763
Utah State University,1,119039710,481275162,4388,4627,1988,4986,4043,4449,26819
Utah Valley University,1,110609990,209234895,4219,1451,3147,4989,3464,3680,28765
Salt Lake Community College,1,72041665,168746593,5281,779,1515,4634,2376,3384,34966
University of Utah,1,228465000,2768028000,4732,1786,5149,4380,4956,6527,29284
Weber State University,1,86389040,184744878,4041,1072,2580,3788,3365,4061,23001
Westminster College,2,67363640,70073756,5106,2164,12489,7187,24576,761,3037
Bennington College,2,34475546,29088505,6521,714,25093,6068,38730,182,808
Burlington College,2,3399719,3674446,5956,2133,4098,6327,20424,37,174
Champlain College,2,60883215,72366367,5454,2983,6355,5907,25850,623,2938
Green Mountain College,2,20152900,20076438,5995,2187,12251,7179,25910,148,858
Marlboro College,2,11378168,17004030,5283,1764,16465,6410,32550,103,388
Norwich University,2,79584173,112346634,6707,1372,15449,6951,25958,1077,3378
Saint Michael's College,2,70447592,80284609,6261,2008,14718,8093,32940,616,2466
College of St Joseph,2,5435644,7352180,4755,5119,4555,6043,17200,91,422
Southern Vermont College,2,8722802,12080092,4716,3958,6551,6901,18680,88,486
Sterling College,2,2878491,5362102,3828,1966,11543,8795,23196,26,109
Vermont Technical College,1,103033257,174098343,4127,1450,2163,5993,9960,1956,13637
University of Vermont,1,300009000,576430000,5737,2899,11851,6267,11712,2927,13391
Averett University,2,17428172,18893985,2598,3440,8543,10041,21112,163,917
Blue Ridge Community College,1,10846197,22060488,4337,1778,1000,4987,2790,440,4883
Bluefield College,2,10796888,11896236,4505,3019,9027,7396,17250,205,753
Bridgewater College,2,38246810,44856459,5058,3046,13671,7457,24500,290,1590
College of William and Mary,1,123851343,282311397,4701,7784,9960,6295,6388,2237,7874
Regent University,2,64300000,67429000,4575,2718,3984,7021,11160,1050,4656
Christopher Newport University,1,25231238,114312302,4694,3753,1136,6129,4380,1051,4952
Jefferson College of Health Sciences,2,16740990,22100524,5335,3351,5236,6615,17740,257,1041
Dabney S Lancaster Community College,1,2642273,8471655,4609,1557,927,3524,2093,109,1582
Danville Community College,1,8220980,22214724,4610,1387,967,2923,2616,197,4387
Emory and Henry College,2,22356503,30896852,5186,3034,14442,6266,24880,185,1002
Eastern Mennonite University,2,27097437,34401328,4709,2516,10413,7438,24120,393,1525
Ferrum College,2,31253994,34546643,4884,2857,10768,6661,23520,182,1425
George Mason University,1,237670639,579694171,5134,3848,7949,6320,5840,7440,32067
Hampden-Sydney College,2,32226556,49373314,5146,2962,12969,6479,29518,247,1068
Hampton University,2,80157274,167899951,5530,2891,11365,15146,15464,983,5402
Hollins University,2,24891962,53440826,5374,3004,12786,6850,27550,250,1057
J Sargeant Reynolds Community College,1,27410671,53458584,4363,1094,1349,4713,2593,735,12729
James Madison University,1,144017736,380098759,4703,4628,4639,5863,3734,4385,18971
John Tyler Community College,1,16961994,34529544,4109,681,1301,4594,2781,573,9692
Liberty University,2,434628991,417319968,4660,2836,6332,6807,15992,7339,46312
Longwood University,1,25489377,97221304,4887,3622,2467,5936,4680,966,4832
Lynchburg College,2,58642133,61165613,4791,2832,12664,8040,27980,503,2589
Mary Baldwin College,2,25995797,28431113,5384,3053,12426,8150,24370,331,1782
University of Mary Washington,1,32976267,88488844,5073,5018,2596,6068,3554,1208,5381
Marymount University,2,64264216,62905881,4959,2818,8559,6512,22370,927,3480
National College-Salem,3,52914405,57596336,4840,6200,1098,8196,8028,918,6691
New River Community College,1,10256302,22335935,4426,1272,931,3990,2093,446,5229
Norfolk State University,1,34573468,126945795,5067,4215,6529,3861,2952,988,6993
Northern Virginia Community College,1,134074722,223049442,4992,775,1015,5061,2956,3852,46619
Old Dominion University,1,115650828,336708069,5172,6176,3956,5950,3516,4600,24013
Patrick Henry Community College,1,8311439,18724566,4212,1561,1018,5417,2616,304,3501
Piedmont Virginia Community College,1,9393064,20474537,3859,1547,1271,4519,2616,322,5401
Radford University,1,46128116,157967984,4528,5810,6750,6022,4396,2136,8878
Randolph-Macon College,2,38971396,54454584,4461,2886,13730,6452,28397,244,1246
Randolph College,2,13582263,37241120,4320,2782,15646,9558,27920,125,500
Richard Bland College of the College of William and Mary,1,3110657,13560390,3828,2502,1424,5177,2588,192,1579
University of Richmond,2,146123600,350692859,7643,2724,32269,5497,40010,1039,4344
Roanoke College,2,56894434,65606125,5044,2912,14880,6909,28734,433,2044
Saint Pauls College,2,6027975,18737052,4719,2987,5042,2427,11880,105,584
Shenandoah University,2,69899476,73965920,4348,2900,8938,7853,23850,799,3619
Southern Virginia University,2,10512412,12462208,4869,2589,6232,9268,17000,133,641
Sweet Briar College,2,21534537,43331019,5073,2981,13377,6163,28860,143,756
Thomas Nelson Community College,1,19465263,42846346,4272,1243,1464,4341,2616,681,10606
Tidewater Community College,1,77163830,135722538,4467,829,2425,3877,2093,2435,30447
The University of Virginia's College at Wise,1,13228501,37801761,4504,3019,3035,5641,3586,211,2015
Virginia Intermont College,2,10532313,11226235,4194,2999,11699,6476,23373,92,577
Virginia Polytechnic Institute and State University,1,353127321,1029072010,2059,3549,3706,6372,6639,7601,30870
Virginia Western Community College,1,14577484,31870305,4438,1384,1879,4412,2659,559,8927
Virginia Commonwealth University,1,273972741,823485307,5255,4093,3181,6369,5253,6399,32172
University of Virginia-Main Campus,1,417351804,2560166336,4948,7042,12548,6364,7496,6182,24355
Virginia Military Institute,1,22001330,63099976,15541,4828,7523,5776,5500,283,1500
Virginia State University,1,33604134,123764561,3649,3002,1000,8847,3584,797,5366
Virginia Union University,2,17100769,29300659,4878,3115,3504,6159,12680,271,1691
Virginia Wesleyan College,2,32236288,39700587,6008,2842,12056,7779,26976,284,1336
Washington and Lee University,2,81658000,212169000,8743,2759,35895,4251,37990,566,2153
Wytheville Community College,1,7289612,18587755,4857,880,1204,2134,2616,322,3783
The Art Institute of Seattle,3,44941198,51903869,7661,2076,2628,10079,21195,372,2282
Bellevue College,1,43497383,106768003,4294,2049,1710,6974,2628,1630,14010
Big Bend Community College,1,5771102,27731927,3976,2040,879,4520,3015,293,2169
Central Washington University,1,80820378,190843018,4664,3842,2288,5642,5517,2623,11357
Clover Park Technical College,1,11567606,53588562,4578,2181,1084,7080,3507,384,6573
Columbia Basin College,1,10115336,52235156,4065,2002,1394,4438,2580,884,6978
Cornish College of the Arts,2,22090682,24517796,5034,5866,5023,7483,27000,162,794
Eastern Washington University,1,80820602,180239930,5052,4246,3384,5132,5340,2604,11300
Edmonds Community College,1,26071995,88351763,3956,1829,1156,4449,2898,889,9658
Everett Community College,1,20350445,73035232,4306,2002,1247,4202,2925,823,8313
The Evergreen State College,1,42898816,90055796,4638,3623,3470,5495,5412,1279,4891
Pierce College at Fort Steilacoom,1,23904272,78970525,3902,1994,1428,4869,2628,1236,11455
Gonzaga University,2,178688640,183435094,5741,6192,14314,7014,29200,2008,7633
Green River Community College,1,30772952,79845044,3931,1872,1387,4174,2628,1160,8205
Heritage University,2,11996635,19194005,5300,6017,1601,4925,11160,231,1115
Highline Community College,1,23280441,72160657,3868,1868,1309,3967,2340,873,6725
ITT Technical Institute-Seattle,3,10704127,10644434,6888,897,2410,13569,16848,145,593
ITT Technical Institute-Spokane Valley,3,9396878,9302817,5261,2069,2451,11812,16848,135,495
Bates Technical College,1,8062104,43513153,3504,2664,452,3505,3758,203,5458
Lake Washington Technical College,1,10277433,36071442,3884,2068,1691,6500,2334,395,4646
Lower Columbia College,1,8606396,38980160,4048,2093,919,3265,2875,376,4290
Seattle Community College-North Campus,1,18374050,49276031,3544,1467,1247,2450,2628,535,6524
Northwest University,2,27521467,26992331,4367,6013,10065,9777,21710,297,1383
Olympic College,1,19716171,53246431,4206,2127,1895,4588,2628,906,7536
Pacific Lutheran University,2,95300927,101389479,5439,5604,13992,6979,28100,861,3581
Peninsula College,1,4824005,26173623,3740,1945,736,5935,2988,292,3155
University of Puget Sound,2,99194000,128077000,5776,6145,16833,6756,35440,697,2879
Renton Technical College,1,8379144,34990949,3828,1954,648,4964,4160,153,4346
Saint Martin's University,2,31266588,30648231,5414,5798,12827,7109,24880,383,1672
Seattle Pacific University,2,97587000,93784000,6333,4134,13818,7314,27450,1018,4000
Seattle University,2,193708338,187807787,6196,5041,12651,7620,29340,2273,7751
Shoreline Community College,1,18748542,53416903,3702,1516,774,4815,2589,711,6277
Skagit Valley College,1,14476660,52119247,3976,1616,2501,6080,3000,502,5676
South Puget Sound Community College,1,12490531,45388669,3780,1709,1993,3654,2913,725,5651
Spokane Community College,1,20418491,70869744,4067,2136,371,4254,1950,964,7445
Spokane Falls Community College,1,18897665,86029988,4028,2042,844,4618,1950,913,9555
Tacoma Community College,1,16771278,58537024,4135,2115,1323,4775,2711,768,6825
Walla Walla Community College,1,9531381,44351083,4189,2058,1408,4616,3165,571,5053
Walla Walla University,2,40165163,48586254,5465,5147,6780,7378,22575,420,1808
Washington State University,1,266401602,871712195,5088,5829,4340,6087,7088,5900,26101
University of Washington-Seattle Campus,1,610418709,3838339639,5443,6032,5014,5323,7125,13772,51938
Wenatchee Valley College,1,6573856,30580284,3809,2036,588,4843,2925,558,3423
Western Washington University,1,94533107,226648088,4987,4338,2909,5132,5397,3391,14575
Whatcom Community College,1,11063562,37330894,3998,2009,1285,555,3105,741,4663
Whitman College,2,54300007,105464852,5956,6437,17057,4795,36620,359,1515
Whitworth University,2,62581053,64862044,5465,6040,14993,6354,28320,647,2781
Yakima Valley Community College,1,12061305,49425983,3986,2015,1945,4866,2925,653,4724
Alderson Broaddus College,2,15202376,15571528,5211,4125,11111,6765,21444,189,711
Appalachian Bible College,2,2302883,5865128,3752,2951,2324,5693,8770,64,300
Mountain State University,2,54023748,63346566,4320,2855,856,8311,5220,1225,5951
Bethany College,2,17312640,24961427,5414,2420,11270,7460,20565,124,830
Bluefield State College,1,8975723,22846080,3535,2593,1842,3718,4596,332,1989
University of Charleston,2,33519627,33663391,5057,4498,15810,4196,24000,275,1396
Concord University,1,14256592,38127042,4233,3863,1573,2891,4974,361,2882
Davis & Elkins College,2,12390260,27497221,4778,3909,9839,6075,19170,103,710
Fairmont State University,1,29495571,88909966,4462,3678,1582,5367,5172,1120,7303
Glenville State College,1,6808393,23379087,4218,3659,1891,5505,3634,161,1721
Huntington Junior College,3,6916553,7389255,4634,2161,1224,1998,7470,178,865
Marshall University,1,92476946,266060055,4702,4355,2523,5681,4319,2645,16894
Ohio Valley University,2,7253035,9255733,4454,3007,7931,9339,16338,118,495
West Virginia University at Parkersburg,1,9208339,22720128,3996,1821,1654,5220,2076,626,4223
Salem International University,3,12634827,13203236,5147,2855,2736,7337,10200,275,751
Shepherd University,1,25283004,61418705,4459,4271,3158,7763,350,715,4256
Southern West Virginia Community and Technical College,1,3048560,19221823,4709,2008,1439,2818,2102,225,2619
West Virginia State University,1,17352458,63467885,4139,3437,3506,6070,4524,648,6229
West Liberty University,1,14301662,38046110,4611,4263,1287,7000,4880,380,2651
West Virginia Wesleyan College,2,30888779,29406102,5383,4932,15755,6187,22030,255,1416
West Virginia Business College-Wheeling,3,970000,969350,5550,4750,2000,9500,9000,83,137
West Virginia Junior College,3,6295336,6259702,4895,3156,1634,6534,10425,150,410
West Virginia Junior College,3,4734584,4718731,5437,3272,1303,5703,10350,117,297
West Virginia Northern Community College,1,8133040,21375187,5348,2040,1079,4293,1968,352,3789
West Virginia University,1,324427743,835056700,4522,4394,2983,6274,5304,6535,32873
Wheeling Jesuit University,2,27341138,36871258,5449,3591,14675,6918,23590,312,1367
Alverno College,2,45262869,43528729,4510,2722,7318,5528,18624,474,2815
Madison Area Technical College,1,36074027,208721334,4247,958,1469,5807,3042,1246,16610
Beloit College,2,43075605,60802262,6011,2860,18663,5431,33188,314,1407
Cardinal Stritch University,2,54198510,51950942,4736,2774,12562,6987,21280,1466,6276
Carroll University,2,64781058,56839116,4098,2696,10805,6935,22470,667,3403
Carthage College,2,74775722,73262958,5107,2513,11280,8405,28250,491,3121
Concordia University-Wisconsin,2,69422732,72055867,4764,2667,10566,8867,20900,1172,7178
Edgewood College,2,41968015,50551807,4890,2737,9029,7466,21042,546,2549
Fox Valley Technical College,1,23024392,119675597,4355,1478,1004,3944,3042,852,10258
Lakeland College,2,29930114,32113020,4930,2795,8223,7154,18160,751,3932
Lakeshore Technical College,1,7322139,39773072,4179,1170,1398,3671,3042,314,3137
Lawrence University,2,49136396,64090543,5308,2905,16356,6691,34326,310,1483
Maranatha Baptist Bible College Inc,2,11033635,15852845,4773,2006,2678,6490,10000,162,849
Marian University,2,36482279,32554820,4992,3103,7858,7899,20550,775,2841
Marquette University,2,289183000,397081000,5916,2828,11749,7557,28680,2757,11689
Mid-State Technical College,1,8142791,35389577,4103,1280,738,4153,3042,400,3277
Milwaukee Area Technical College,1,43446145,257828845,3537,1089,1000,4124,3042,1335,20215
Milwaukee Institute of Art & Design,2,18021003,15858049,5062,2933,10923,7428,24950,129,681
Milwaukee School of Engineering,2,69384020,69356823,6096,2640,14686,7612,28665,539,2648
Moraine Park Technical College,1,10367971,60912945,3528,845,671,3957,3030,421,8466
Mount Mary College,2,25305809,25036198,5429,2959,9259,6308,20736,348,1925
Nicolet Area Technical College,1,3807212,28367344,3873,951,1062,3317,3245,167,1369
Northland College,2,13552002,17432446,5316,2598,12897,7039,23380,126,612
Ripon College,2,25788556,29210236,6215,2775,14101,5691,25170,206,1064
Saint Norbert College,2,55464187,66008989,4773,2769,13622,6688,26522,466,2175
Silver Lake College,2,6304044,13268449,5037,3184,8945,7010,20340,155,704
Southwest Wisconsin Technical College,1,4593313,30075992,3998,910,675,3781,3042,176,3421
University of Wisconsin Colleges,1,44866037,98426883,4255,2189,1117,4524,4268,1461,13789
Viterbo University,2,45245848,47054324,4452,2763,10080,6584,19670,923,3282
Chippewa Valley Technical College,1,14030912,63528346,4137,1004,1281,4985,3042,709,5774
Waukesha County Technical College,1,15346890,95355213,4317,912,1152,5622,3042,592,7749
University of Wisconsin-Whitewater,1,67170840,146432242,4840,1956,1251,5784,5551,2214,11139
Wisconsin Indianhead Technical College,1,10019895,55292725,4155,1140,371,4130,3042,377,4118
University of Wisconsin-Eau Claire,1,58110983,148932318,5032,2149,1106,5587,5527,2197,11216
University of Wisconsin-Green Bay,1,29668639,82258110,4894,1905,4798,5702,5364,1160,6638
University of Wisconsin-La Crosse,1,61729067,146167868,4855,1847,873,5905,6425,2228,10009
Wisconsin Lutheran College,2,14968071,23411538,4999,2845,10243,6393,21040,136,776
University of Wisconsin-Oshkosh,1,58523119,166104681,4730,2122,1056,5976,5477,2180,13192
University of Wisconsin-Parkside,1,23359343,67208480,4796,2080,3724,5691,5364,620,5303
University of Wisconsin-Stout,1,44515863,122223383,4771,1844,1376,6316,5974,1700,9017
University of Wisconsin-Superior,1,15297420,55552200,4959,2149,4094,5497,5571,510,2794
University of Wisconsin-Madison,1,390735860,2291794800,5285,2239,3810,6470,7296,9832,41654
University of Wisconsin-Milwaukee,1,205147526,473202651,5408,1911,3905,6630,6890,5039,30418
University of Wisconsin-Platteville,1,43444055,93146819,4547,1988,594,5596,5466,1287,7803
University of Wisconsin-River Falls,1,35769326,93554060,4509,1992,1674,6405,5436,1212,6728
University of Wisconsin-Stevens Point,1,50933234,150246912,4694,1872,1399,5425,5364,1802,9209
Casper College,1,6974669,49359804,4787,2162,1796,4945,1632,610,4478
Central Wyoming College,1,4388563,29557110,5382,2181,1887,4325,1632,199,2404
Eastern Wyoming College,1,2427705,15962792,4047,2591,2832,3343,1632,122,1391
Laramie County Community College,1,10918914,46368754,4072,1774,3418,3272,1632,509,4905
Northwest College,1,4342155,29166031,4727,1988,2797,5270,1632,321,2099
Sheridan College,1,5005192,34075649,4025,1806,2788,3790,1632,301,3899
Western Wyoming Community College,1,6707356,33953206,3906,1709,3210,3258,1632,328,4079
University of Wyoming,1,64216694,449339187,4320,5105,2379,5466,2256,2350,12427
University of Guam,1,20739830,81406473,2108,4403,2729,2313,5320,458,3550
American University of Puerto Rico,2,974615,1950647,5202,806,1598,3246,3816,418,3153
Universidad Adventista de las Antillas,2,10157699,13423845,5384,383,1643,3147,5150,182,1019
Atlantic College,2,7940073,9064382,3878,600,3000,3000,5400,207,1236
Bayamon Central University,2,12387424,16449220,7840,518,1045,3639,4120,366,2287
Caribbean University-Bayamon,2,45278555,25349615,5926,537,3629,2460,3720,364,2494
Pontifical Catholic University of Puerto Rico-Ponce,2,57590755,64863744,7708,283,459,2818,4480,1310,9860
Universidad Metropolitana,2,64124516,79441570,5641,395,1316,1933,4104,1743,12622
Huertas Junior College,3,2172164,2274525,6090,233,203,1194,6140,396,1843
Inter American University of Puerto Rico-San German,2,26752733,56021111,5065,534,644,2792,3912,754,5716
Inter American University of Puerto Rico-Aguadilla,2,21161690,21309943,5125,436,633,2344,3912,321,4502
Inter American University of Puerto Rico-Arecibo,2,23397216,25921139,5205,332,446,3101,3912,511,4878
Inter American University of Puerto Rico-Barranquitas,2,12374616,14843458,5152,290,574,2671,3912,320,2418
Inter American University of Puerto Rico-Metro,2,50934601,51498966,4887,800,898,3451,3912,1439,10693
Inter American University of Puerto Rico-Ponce,2,29512731,32549163,5342,446,452,2748,3912,486,6048
Inter American University of Puerto Rico-Fajardo,2,11604671,12638456,5085,278,517,2765,3912,210,2288
Inter American University of Puerto Rico-Guayama,2,11556347,11632424,5086,327,373,3286,3912,320,2377
Inter American University of Puerto Rico-Bayamon,2,25921287,26853167,5197,536,655,2855,3912,543,5245
University of Puerto Rico-Carolina,1,31205405,184882531,4864,823,1033,2652,2499,2464,21994
University of Puerto Rico at Cayey,1,60344694,1091155672,5062,748,1363,2890,1350,6027,43705
Universidad Del Este,2,67081360,79500524,5582,321,1104,1775,4104,1418,13317
University of Sacred Heart,2,32132313,42798441,5543,564,1759,3251,4080,768,5673
Universidad Politecnica de Puerto Rico,2,32572245,38497077,4572,1277,1409,4501,6480,719,5529
Universidad Del Turabo,2,76216403,98760671,5814,262,1201,1567,4104,2225,16190
University of the Virgin Islands,1,15003175,77360970,5153,6481,1961,3741,3600,381,2602
Stanford University,2,535245000,3450481000,6071,9567,31535,6242,37380,4712,18498
Purdue University-Main Campus,1,554796813,1670904075,5492,4321,4751,6429,8183,8938,41052
ICPuerto Rico Junior College-General Institutional,3,18926390,19196983,4510,296,126,3030,9120,154,1486
ITT Technical Institute-Sylmar,3,17984809,17867147,5370,7256,2130,11263,16848,295,1032
